x,"y_(ЛЗМ5,5м_Em650.txt)","y_(ЛЗМ5,5м_Ex660.txt)","y_(ЛЗМ5,5м_Em430.txt)","y_(ЛЗМ5,5м_Em425.txt)","y_(ЛЗМ5,5м_Em370.txt)","y_(ЛЗМ5,5м_Em405.txt)","y_(ЛЗМ5,5м_Em605.txt)","y_(ЛЗМ5,5м_Em460.txt)"
536,,"7,667116","0,384142",,"0,415679",,,
537,,"7,603467","0,385518",,"0,412111",,,
538,,"7,526284","0,380022",,"0,407817",,,
539,,"7,428041","0,376582",,"0,400935",,,
540,,"7,371066","0,376667",,"0,394628",,,
541,,"7,371432","0,373824",,"0,390031",,,
542,,"7,384158","0,370212",,"0,386753",,,
543,,"7,407954","0,366768",,"0,386966",,,
544,,"7,455948","0,365475",,"0,384584",,,
545,,"7,458190","0,360804",,"0,377204",,,
546,,"7,492176","0,354789",,"0,373107",,,
547,,"7,533020","0,352982",,"0,377764",,,
548,,"7,550867","0,355190",,"0,375936",,,
549,,"7,609426","0,354965",,"0,369574",,,
550,,"7,785162","0,350567",,"0,363724",,,
551,,"7,943598","0,348496",,"0,358905",,,
552,,"8,115724","0,347253",,"0,358851",,,
553,,"8,320857","0,344668",,"0,360009",,,
554,,"8,443261","0,341834",,"0,358784",,,
555,,"8,702004","0,339921",,"0,352251",,,
556,,"8,921873","0,339777",,"0,346714",,,
557,,"9,001172","0,338322",,"0,346309",,,
558,,"9,134708","0,333718",,"0,351576",,,
559,,"9,260488","0,332196",,"0,349478",,,
560,,"9,392109","0,332261",,"0,350068",,,
561,,"9,605428","0,331639",,"0,354685",,,
562,,"9,965465","0,331490",,"0,353826",,,
563,,"10,312400","0,327916",,"0,355615",,,
564,,"10,554907","0,325689",,"0,356894",,,
565,,"10,900638","0,323086",,"0,353327",,,
566,,"11,233401","0,321671",,"0,349721",,,
567,,"11,421027","0,323581",,"0,357876",,,
568,,"11,693921","0,322330",,"0,365123",,,
569,,"11,967296","0,321439",,"0,372992",,,
570,,"12,262106","0,319887",,"0,379834",,,
571,,"12,514806","0,318598",,"0,379746",,,
572,,"12,640928","0,321289",,"0,388036",,,
573,,"12,916790","0,323503",,"0,399423",,,
574,,"13,260723","0,321173",,"0,404253",,,
575,,"13,628864","0,322010",,"0,402107",,,
576,,"13,861587","0,324904",,"0,402648",,,
577,,"13,983989","0,326261",,"0,409244",,,
578,,"14,080939","0,328602",,"0,414120",,,
579,,"14,013195","0,327603",,"0,418781",,,
580,,"14,049798","0,325466",,"0,432040",,,
581,,"13,972669","0,327817",,"0,439165",,,
582,,"13,955667","0,329227",,"0,440505",,,
583,,"14,167865","0,329708",,"0,446639",,,
584,,"14,355300","0,332421",,"0,449417",,,
585,,"14,534881","0,333076",,"0,455768",,,
586,,"14,644998","0,332137",,"0,454116",,,
587,,"14,831011","0,330759",,"0,451509",,,
588,,"15,106438","0,325859",,"0,450880",,,
589,,"15,639330","0,321121",,"0,451900",,,
590,,"16,005339","0,322450",,"0,464710",,,
591,,"16,361417","0,325336",,"0,469800",,,
592,,"17,332628","0,329736",,"0,472793",,,
593,,"18,205019","0,336834",,"0,480009",,,
594,,"18,845434","0,344940",,"0,480261",,,
595,,"19,813657","0,348014",,"0,483218",,,
596,,"20,669813","0,353260",,"0,493387",,,
597,,"21,486434","0,359624",,"0,501022",,,
598,,"22,126307","0,364051",,"0,504116",,,
599,,"22,465183","0,366379",,"0,510609",,,
600,,"22,899497","0,371127","0,433987","0,518345","0,431304",,"0,385771"
601,,"23,280313","0,379528","0,440948","0,523288","0,439163",,"0,390372"
602,,"23,643963","0,384959","0,446745","0,527571","0,442333",,"0,398001"
603,,"23,885577","0,399024","0,456465","0,531780","0,445030",,"0,406724"
604,,"24,053391","0,416738","0,470127","0,543860","0,450424",,"0,419435"
605,,"24,282634","0,432060","0,481507","0,560055","0,461782",,"0,422256"
606,,"24,429923","0,446746","0,495610","0,571778","0,475183",,"0,424433"
607,,"24,528536","0,460235","0,513728","0,581099","0,483633",,"0,433745"
608,,"24,589077","0,476570","0,532742","0,587962","0,488829",,"0,432519"
609,,"24,576527","0,497763","0,548097","0,591639","0,501247",,"0,430799"
610,,"24,402350","0,518792","0,571385","0,609923","0,523822",,"0,436677"
611,,"24,160603","0,543295","0,601803","0,633677","0,536672",,"0,441127"
612,,"24,050029","0,573651","0,633533","0,649376","0,551182",,"0,451234"
613,,"23,855195","0,605973","0,668172","0,663650","0,577565",,"0,461048"
614,,"23,438265","0,642745","0,705245","0,672626","0,600536",,"0,454282"
615,,"23,164371","0,675415","0,737983","0,690112","0,635943",,"0,453984"
616,,"22,940468","0,696200","0,764185","0,716932","0,669323",,"0,467463"
617,,"22,594214","0,723104","0,798998","0,730881","0,681961",,"0,477429"
618,,"22,085030","0,759962","0,833857","0,752977","0,697551",,"0,486858"
619,,"21,509238","0,792427","0,859542","0,778542","0,735945",,"0,496133"
620,,"20,938442","0,828129","0,896034","0,799131","0,779117","1,317550","0,500165"
621,,"20,383196","0,853467","0,931967","0,824437","0,806145","1,312860","0,505539"
622,,"19,782350","0,868936","0,961954","0,823897","0,834992","1,286672","0,527759"
623,,"19,031985","0,894721","0,995797","0,837919","0,867759","1,280504","0,552359"
624,,"18,434094","0,926304","1,028961","0,880109","0,902781","1,288717","0,567229"
625,,"18,030032","0,963954","1,061196","0,914679","0,950141","1,285916","0,597012"
626,,"17,936117","1,002077","1,101252","0,961452","0,993053","1,269666","0,631932"
627,,"17,966436","1,039683","1,157095","1,013016","1,031178","1,262821","0,656167"
628,,"17,827868","1,085544","1,220881","1,052500","1,094964","1,300752","0,701277"
629,,"17,882868","1,140622","1,299613","1,095605","1,165332","1,323478","0,756084"
630,,"18,262187","1,212706","1,393893","1,182048","1,231328","1,338209","0,804225"
631,,"18,613052","1,296172","1,504080","1,289706","1,334302","1,372325","0,874110"
632,,"19,040011","1,395792","1,634649","1,380762","1,465971","1,407074","0,948638"
633,,"19,751557","1,515206","1,778588","1,493961","1,606361","1,452781","1,034077"
634,,"20,906737","1,660600","1,955811","1,647019","1,767400","1,517173","1,148211"
635,,"22,574296","1,852743","2,195836","1,826311","1,973209","1,598557","1,264094"
636,,"24,468918","2,080837","2,511206","2,022010","2,256693","1,706271","1,393717"
637,,"26,412196","2,393566","2,897006","2,269454","2,626819","1,836380","1,542513"
638,,"29,007145","2,829711","3,396114","2,617269","3,132585","1,999469","1,730004"
639,,"32,470050","3,340268","4,052262","3,092105","3,771281","2,201586","1,928922"
640,,"36,487831","3,937481","4,835762","3,671385","4,520361","2,462337","2,125224"
641,,"41,432413","4,741384","5,888787","4,368518","5,475186","2,817537","2,390537"
642,,"47,242710","5,812003","7,196817","5,303029","6,707273","3,313582","2,683917"
643,,"53,123371","7,071811","8,670571","6,488871","8,210571","3,961473","3,007412"
644,,"56,914956","8,585774","10,478611","7,927987","10,029804","4,686334","3,413873"
645,,"58,145889","10,376923","12,581439","9,646069","12,176666","5,556121","3,853656"
646,,,"12,390918","14,829840","11,643381","14,616332","6,522744","4,295614"
647,,,"14,709320","17,314360","14,071801","17,483128","7,642585","4,775147"
648,,,"17,098664","20,031495","16,797661","20,561798","9,033332","5,314922"
649,,,"19,421915","22,726683","19,508515","23,712650","10,484403","5,890518"
650,,,"21,901447","25,468127","22,437165","27,077393","12,093102","6,532875"
651,,,"24,344156","28,234094","25,514588","30,418316","13,919536","7,222848"
652,,,"26,676623","30,668377","28,475504","33,595371","15,642233","7,930639"
653,,,"28,947144","32,999716","31,466031","36,654279","17,353550","8,686146"
654,,,"30,966270","34,914071","34,340122","39,460194","19,027420","9,436074"
655,,,"32,676053","36,069707","36,882003","41,959773","20,502836","10,126974"
656,,,"34,145978","36,978278","39,067163","44,149767","21,812946","10,848839"
657,,,"35,428724","37,826793","40,811750","46,007915","22,767683","11,578963"
658,,,"36,553688","38,507092","42,227232","47,407416","23,490348","12,178042"
659,,,"37,271587","39,007856","43,290149","48,327905","24,018701","12,677551"
660,,,"37,591397","39,253471","43,784678","48,865321","24,144510","13,105261"
661,,,"37,676823","39,297485","43,772404","48,882779","23,814998","13,474951"
662,,,"37,281763","39,413400","43,300970","48,554041","23,384788","13,696384"
663,,,"36,528093","39,468786","42,381590","47,953849","22,729970","13,738442"
664,,,"35,634189","39,121123","41,183240","46,886038","21,595843","13,748867"
665,"82,130170",,"34,694316","38,349576","39,764297","45,416842","20,468179","13,693840"
666,"76,685819",,"33,575068","37,236930","38,078645","43,626902","19,354639","13,474720"
667,"70,991733",,"32,036260","35,894100","36,143670","41,670881","18,139629","13,232819"
668,"65,403502",,"30,375027","34,448764","34,128125","39,727198","16,987779","12,964320"
669,"59,979139",,"28,798442","32,862522","32,146566","37,668337","15,826192","12,598192"
670,"55,111624",,"27,227558","31,270629","30,149255","35,563354","14,726470","12,245177"
671,"50,761714",,"25,719889","29,700489","28,200381","33,572688","13,694937","11,879264"
672,"46,415286",,"24,212370","28,052497","26,238348","31,480745","12,587602","11,407606"
673,"42,194794",,"22,754271","26,456070","24,397095","29,411640","11,650655","10,962790"
674,"38,351445",,"21,335930","24,836555","22,737294","27,443588","10,903227","10,640594"
675,"34,982798",,"19,991608","23,299335","21,218697","25,675214","10,176182","10,329754"
676,"32,343231",,"18,792805","22,021136","19,849709","24,150997","9,591607","9,978846"
677,"30,030048",,"17,715874","20,874622","18,546358","22,660279","9,082854","9,663707"
678,"27,850933",,"16,773328","19,777350","17,454365","21,310051","8,584756","9,395669"
679,"26,290405",,"15,900216","18,701233","16,495246","20,047192","8,184200","9,136332"
680,"24,943820",,"15,098420","17,720490","15,613828","18,950719","7,754605","8,919727"
681,"23,536038",,"14,418542","16,908819","14,858023","18,030769","7,328637","8,747640"
682,"22,460664",,"13,798869","16,210451","14,152109","17,166566","6,949289","8,516640"
683,"21,669934",,"13,296963","15,602592","13,537250","16,444676","6,618649","8,222855"
684,"20,863475",,"12,874794","15,083030","13,000298","15,793209","6,358455","7,994793"
685,"20,184357",,"12,489935","14,623090","12,560970","15,231641","6,261311","7,805389"
686,"19,685130",,"12,219208","14,274121","12,273748","14,802237","6,200545","7,652104"
687,"19,143217",,"11,939548","13,921531","12,011072","14,431306","6,012873","7,522991"
688,"18,702816",,"11,690690","13,634646","11,709538","14,123384","5,788398","7,439690"
689,"18,509207",,"11,527500","13,466701","11,523595","13,911898","5,555129","7,332966"
690,"18,276675",,"11,407452","13,328659","11,439918","13,742521","5,482140","7,216149"
691,"18,141491",,"11,292333","13,191950","11,337383","13,533055","5,510966","7,195375"
692,"18,171761",,"11,164403","13,063491","11,166831","13,357349","5,526425","7,144862"
693,"18,008230",,"11,012599","12,966046","11,034087","13,269333","5,459273","7,001906"
694,"17,898786",,"10,928582","12,922802","10,987426","13,168215","5,344061","6,894423"
695,"17,983198",,"10,914474","12,908998","10,959729","13,053489","5,299511","6,871092"
696,"18,100347",,"10,904982","12,857837","10,955911","13,011129","5,310176","6,839202"
697,"18,162275",,"10,886758","12,869495","10,973439","13,065793","5,256871","6,821920"
